"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CORN - ACRES GRAZED  -  <b>VALUE</b>","CORN - ACRES GRAZED  -  <b>CV (%)</b>","CORN - ACRES PLANTED  -  <b>VALUE</b>","CORN - ACRES PLANTED  -  <b>CV (%)</b>","CORN - ACRES REMAINING TO BE PLANTED  -  <b>VALUE</b>","CORN - ACRES REMAINING TO BE PLANTED  -  <b>CV (%)</b>","CORN, BIOTECH - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>VALUE</b>","CORN, BIOTECH - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>CV (%)</b>","CORN, BIOTECH, BT - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>VALUE</b>","CORN, BIOTECH, BT - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>CV (%)</b>","CORN, BIOTECH, HERBICIDE RESISTANT - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>VALUE</b>","CORN, BIOTECH, HERBICIDE RESISTANT - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>CV (%)</b>","CORN, BIOTECH, STACKED GENE - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>VALUE</b>","CORN, BIOTECH, STACKED GENE - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>CV (%)</b>","CORN, FOR ALCOHOL & OTHER PRODUCTS - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR ALCOHOL & OTHER PRODUCTS - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR OTHER PRODUCTS (EXCL ALCOHOL) - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR OTHER PRODUCTS (EXCL ALCOHOL) - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - ACRES REMAINING TO BE HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES REMAINING TO BE HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, 10 YEAR AVG, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, 10 YEAR AVG, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>","CORN, SILAGE - ACRES HARVESTED  -  <b>VALUE</b>","CORN, SILAGE - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, SILAGE - PRODUCTION, MEASURED IN TONS  -  <b>VALUE</b>","CORN, SILAGE - PRODUCTION, MEASURED IN TONS  -  <b>CV (%)</b>","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE  -  <b>VALUE</b>","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE  -  <b>CV (%)</b>"
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (DRY MILL PLANT)","","","","","","","","","","","","","","","","","","","","","5,051,182,000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (WET MILL PLANT)","","","","","","","","","","","","","","","","","","","","","501,990,000","","","","512,022,000","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","90,167,000","","","","92","","3","","12","","77","","6,128,829,000","","5,606,935,000","","35,835,000","","5,493,881,000","","77,219,000","","","","82,733,000","","","","","","","","","","3.36","","49,567,854,000","","14,609,407,000","","176.6","","6,385,000","","127,434,000","","20",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (DRY MILL PLANT)","","","","","","","","","","","","","","","","","","","","","4,934,449,000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (WET MILL PLANT)","","","","","","","","","","","","","","","","","","","","","559,432,000","","","","521,894,000","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","94,004,000","","","","92","","3","","13","","76","","5,885,251,000","","5,394,807,000","","34,124,000","","5,289,181,000","","71,502,000","","","","86,748,000","","","","","","","","","","3.48","","51,304,297,000","","15,148,038,000","","174.6","","6,206,000","","126,020,000","","20.3",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (DRY MILL PLANT)","","","","","","","","","","","","","","","","","","","","","4,734,762,000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (WET MILL PLANT)","","","","","","","","","","","","","","","","","","","","","554,419,000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","88,019,000","","","","92","","4","","12","","77","","5,843,189,000","","","","33,892,000","","5,219,402,000","","75,590,000","","","","80,753,000","","","","","","","","","","3.71","","49,339,261,000","","13,601,964,000","","168.4","","6,237,000","","127,311,000","","20.4",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (DRY MILL PLANT)","","","","","","","","","","","","","","","","","","","","","4,669,671,000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (WET MILL PLANT)","","","","","","","","","","","","","","","","","","","","","549,731,000","","","","514,305,000","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","90,597,000","","","","93","","4","","13","","76","","","","","","","","","","","","","","83,146,000","","","","","","","","","","4.11","","52,958,412,000","","14,217,292,000","","171","","6,361,000","","127,843,000","","20.1",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","95,365,000","","","","","","","","","","","","","","","","","","","","","","","","87,461,000","","","","","","","","","","6.15","","61,935,222,000","","13,830,704,000","","158.1","","6,271,000","","118,101,000","","18.8",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","97,291,000","","","","","","","","","","","","","","","","","","","","","","","","87,365,000","","","","","","","","","","6.67","","74,155,299,000","","10,755,111,000","","123.1","","7,419,000","","116,148,000","","15.7",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","91,936,000","","","","","","","","","","","","","","","","","","","","","","","","83,879,000","","","","","","","","","","6.02","","76,651,242,000","","12,313,956,000","","146.8","","5,935,000","","109,091,000","","18.4",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","88,192,000","","","","","","","","","","","","","","","","","","","","","","","","81,446,000","","","","","","","","","","3.83","","64,529,628,000","","12,425,330,000","","152.6","","5,567,000","","107,314,000","","19.3",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","86,382,000","","","","","","","","","","","","","","","","","","","","","","","","79,490,000","","","","","","","","","","3.75","","46,640,936,000","","13,067,156,000","","164.4","","5,605,000","","108,221,000","","19.3",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","85,982,000","","","","","","","","","","","","","","","","","","","","","","","","78,570,000","","","","","","","","","","4.78","","49,104,148,000","","12,043,203,000","","153.3","","5,971,000","","111,792,000","","18.7",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","93,527,000","","","","","","","","","","","","","","","","","","","","","","","","86,520,000","","","","","","","","","","3.39","","54,666,959,000","","13,037,875,000","","150.7","","6,060,000","","106,229,000","","17.5",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","78,327,000","","","","","","","","","","","","","","","","","","","","","","","","70,638,000","","","","","","","","","","2.28","","32,083,011,000","","10,531,123,000","","149.1","","6,487,000","","105,294,000","","16.2",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","81,779,000","","","","","","","","","","","","","","","","","","","","","","","","75,117,000","","","","","","","","","","1.96","","22,194,287,000","","11,112,187,000","","147.9","","5,930,000","","106,486,000","","18",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","80,929,000","","","","","","","","","","","","","","","","","","","","","","","","73,631,000","","","","","","","","","","2.47","","24,377,913,000","","11,805,581,000","","160.3","","6,101,000","","107,293,000","","17.6",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","78,603,000","","","","","","","","","","","","","","","","","","","","","","","","70,944,000","","","","","","","","","","2.27","","24,472,254,000","","10,087,292,000","","142.2","","6,583,000","","107,378,000","","16.3",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","78,894,000","","","","","","","","","","","","","","","","","","","","","","","","69,330,000","","","","","","","","","","2.13","","20,882,448,000","","8,966,787,000","","129.3","","7,122,000","","102,293,000","","14.4",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","75,702,000","","","","","","","","","","","","","","","","","","","","","","","","68,768,000","","","","","","","","","","1.89","","18,878,819,000","","9,502,580,000","","138.2","","6,142,000","","101,992,000","","16.6",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","79,551,000","","","","","","","","","","","","","","","","","","","","","","","","72,440,000","","","","","","","","","","1.86","","18,499,002,000","","9,915,051,000","","136.9","","6,082,000","","102,156,000","","16.8",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","77,386,000","","","","","","","","","","","","","","","","","","","","","","","","70,487,000","","","","","","","","","","1.89","","17,103,991,000","","9,430,612,000","","133.8","","6,037,000","","95,633,000","","15.8",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","80,165,000","","","","","","","","","","","","","","","","","","","","","","","","72,589,000","","","","","","","","","","2.2","","18,922,084,000","","9,758,685,000","","134.4","","5,913,000","","95,479,000","","16.1",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","79,537,000","","","","","","","","","","","","","","","","","","","","","","","","72,671,000","","","","","","","","","","2.6","","22,351,507,000","","9,206,832,000","","126.7","","6,054,000","","97,192,000","","16.1",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","79,229,000","","","","","","","","","","","","","","","","","","","","","","","","72,644,000","","","","","","","","","","3.55","","25,149,013,000","","9,232,557,000","","127.1","","5,607,000","","86,581,000","","15.4",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","71,479,000","","","","","","","","","","","","","","","","","","","","","","","","65,210,000","","","","","","","","","","","","24,202,234,000","","7,400,051,000","","113.5","","5,321,000","","78,181,000","","14.7",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","78,921,000","","","","","","","","","","","","","","","","","","","","","","","","72,514,000","","","","","","","","","","","","22,874,154,000","","10,050,520,000","","138.6","","5,717,000","","90,170,000","","15.8",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","73,239,000","","","","","","","","","","","","","","","","","","","","","","","","62,933,000","","","","","","","","","","","","16,035,515,000","","6,337,730,000","","100.7","","6,823,000","","81,131,000","","11.9",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","79,311,000","","","","","","","","","","","","","","","","","","","","","","","","72,077,000","","","","","","","","","","","","19,723,258,000","","9,476,698,000","","131.5","","6,069,000","","87,663,000","","14.4",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","75,957,000","","","","","","","","","","","","","","","","","","","","","","","","68,822,000","","","","","","","","","","","","17,860,947,000","","7,474,765,000","","108.6","","6,140,000","","81,216,000","","13.2",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","74,166,000","","","","","","","","","","","","","","","","","","","","","","","","66,952,000","","","","","","","","","","","","18,191,643,000","","7,934,028,000","","118.5","","6,123,000","","86,820,000","","14.2",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","72,322,000","","","","","","","","","","","","","","","","","","","","","","","","64,783,000","","","","","","","","","","","","17,912,895,000","","7,531,953,000","","116.3","","6,606,000","","86,111,000","","13",""
